Name,Price,Link,Customer Review,Review Count,Is Amazon's Choice (Recommendation),Seller,Original Listing Price (If Applicable),Specs List(If Applicable),Item Description,Shipping Option,Returning Option,Item Stock Level,Protection Plan Offered,Protection Plan Price (2 year),Protection Plan Price (4 year)
Clarity XLC7BT Cordless Amplified Phone,$115.02,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_2?ie=UTF8&adId=A006150214DVMMK1EZN4N&url=%2FClarity-XLC7BT-Cordless-Amplified-Phone%2Fdp%2FB076JR3QPG%2Fref%3Dsr_1_70_sspa%3Fkeywords%3Dphone%26qid%3D1583976965%26sr%3D8-70-spons%26psc%3D1%26smid%3DAYSGXV7QRGP7K&qualifier=1583976965&id=3800172991231752&widgetName=sp_btf,4.5,10,False,Clarity,N/A,N/A,"50 DECIBELS OF AMPLIFICATION AND FOUR (4) TONE SETTINGS FOR CELLPHONE CALLS AT HOME 
 PAIR UP TO TWO (2) BLUETOOTH DEVICES 
 SIMPLE, EASY-TO-USE DESIGN 
 EXPANDABLE UP TO THREE (3) EXTRA HANDSETS (XLC7HS) 
 Weight: .5 pounds",N/A,N/A,In Stock.,True,N/A,$29.99
Samsung Galaxy S20 5G Factory Unlocked New Android Cell Phone US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | US Warranty | Cloud Pink,$999.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A02624101O0LQDM0YEYHP&url=%2FSamsung-Unlocked-Fingerprint-Recognition-Long-Lasting%2Fdp%2FB082XXQDJF%2Fref%3Dsr_1_65_sspa%3Fkeywords%3Dphone%26qid%3D1583977052%26sr%3D8-65-spons%26psc%3D1&qualifier=1583977052&id=5304365632787384&widgetName=sp_atf_next,3.1,16,False,N/A,N/A,S20 5G / S20 5G w/ Free Galaxy Buds and DUO Pad / S20 Ultra / S20 Ultra w/ Free Galaxy Buds and DUO Pad / S20+ / S20+ w/ Free Galaxy Buds and DUO Pad / 128GB / 512GB / Cloud Blue / Cloud Pink / Cosmic Gray / Cosmic Black,"Power of 5G: Get next-level power for everything you love to do with Samsung Galaxy 5G; Share more, game harder, experience more and never miss a beat 
 Single Take AI: Capture video and multiple types of images with one tap of the shutter button; Lenses, effects and filters capture the best of every moment, every time 
 Hi-Res Camera Zoom: Capture hi-res images as if you’re 3 feet away, from 100 feet away; Whether you want to zoom in close from afar or magnify details nearby, the new 30x Space Zoom gives you impressive power and clarity 
 Bright Night Mode: Capture crisp images and vibrant video in Bright Night mode and create high-quality content in low light – no flash needed 
 Super Fast Charging: Charge up quicker with Super Fast Charge so you can keep moving with more juice; Give your buds – or Galaxy buds – a boost of power with Wireless PowerShare right from Galaxy S20 5G 
 All-Day Battery: Galaxy S20 5G’s intelligent battery uses an algorithm to learn from how you live to optimize power and take you through a day or more of work and life without ever giving out on you 
 Massive Storage: Generous storage out of the box and expandable memory means you never have to delete what’s important to you; Memory card sold separately",FREE Shipping,FREE Returns,Usually ships within 2 to 4 weeks.,True,$94.99,N/A
"PANASONIC Expandable Cordless Phone System with Link2Cell Bluetooth, Voice Assistant, Answering Machine and Call Blocking - 3 Cordless Handsets - KX-TGD563M (Metallic Black)",$70.66,https://www.amazon.com/PANASONIC-Expandable-Link2Cell-Bluetooth-Assistant/dp/B071X94JQ4/ref=sr_1_67?keywords=phone&qid=1583977052&sr=8-67,4.3,1038,False,N/A, $89.95,Black / Rose Gold / Navy Blue / 2 Handsets / 3 Handsets / 4 Handsets,"LINK2CELL - A cordless phone system that operates together with your cell phone. Simply charge your cell phone through the USB port on the cordless phone base unit and sync via Bluetooth 
 ONE TOUCH TELEPHONE CALL BLOCK - Register up to 150 numbers with one-touch Call Block on the cordless phone base unit & cordless handsets. Compatible with Hearing Aid T-Coil (TIA-1083 Compliant) 
 BI-LINGUAL CALLER ID - Talking Caller ID audibly announces caller information in either English or Spanish from the telephone’s base unit and cordless handsets when you can't view the screen 
 QUICK-READ MESSAGE COUNTER - Instantly know how many phone messages you have received with a large, easy-to-read message counter on the phone system's elegant cordless base unit 
 TELEPHONE RINGER IDs - Assigned pre-programmed ringtones will sound on the phone’s base unit and cordless handsets when corresponding Caller ID numbers are received from incoming telephone calls",FREE Shipping,FREE Returns,In Stock.,True,N/A,$9.99
"VTech LS6475-3 DECT 6.0 Expandable Cordless Phone with Answering System and DECT Cordless Headset, Silver with 2 Handsets and 1 Headset",$87.02,https://www.amazon.com/VTech-LS6475-3-Expandable-Cordless-Answering/dp/B004OA731Q/ref=sr_1_68?keywords=phone&qid=1583977052&sr=8-68,3.8,631,True,N/A,N/A,N/A,"DECT 6.0 Digital technology 
 Caller ID/Call Waiting*—stores 50 calls 
 Push-to-Talk 
 HD Audio, Handset speakerphone 
 DSL Subscribers may need to us a DSL Filter.Hearing Aid Compatible 
 For optimal performance batteries should be charged for 16 hours prior to use(Refer page 85 of user manual attached for charging instructions.Please refer user manual attached below for item assembly instructions.) 
 Charge the headset without interruption for at least 15 minutes to use for a short time.",FREE Shipping,FREE Returns,In Stock.,True,N/A,$14.99
"VTech CS6419-17 DECT 6.0 Expandable Cordless Phone with Caller ID and Handset Speakerphone, 1 Handset, White",$30.73,https://www.amazon.com/VTech-CS6419-17-Expandable-Cordless-Speakerphone/dp/B076JN255V/ref=sr_1_69?keywords=phone&qid=1583977052&sr=8-69,4.3,455,True,N/A,N/A,Blue / Red / White,"Handset speakerphone: enjoy a speakerphone that can keep up with your calls. Increase participation by allowing both ends to speak and be heard at the same time, for conversations that are more true to life. 
 Caller ID/Call waiting—stores 50 calls: know who's calling with Caller ID/Call Waiting. Handset displays the name, number, time and date of incoming calls. 
 Backlit keypad and display: the keypad and LCD screen illuminate so you can easily make and view calls, even in dim light. 
 Table- and wall-mountable",FREE Shipping,FREE Returns,In Stock.,True,N/A,$6.99
"Moto G7 with Alexa Hands-Free – Unlocked – 64 GB – Clear White (US Warranty) – Verizon, AT&T, T–Mobile, Sprint, Boost, Cricket, & Metro",$229.99,https://www.amazon.com/Moto-G7-Alexa-Hands-Free-Unlocked/dp/B07N8ZTKHX/ref=sr_1_71?keywords=phone&qid=1583977052&sr=8-71,4.3,2487,True,motorola,N/A,Ceramic Black / Clear White / Deep Indigo / Marine Blue,"Pre-installed selection of Amazon apps, including Amazon Shopping, Amazon Music, Audible and Amazon Alexa 
 Amazon exclusive version with Amazon Alexa built-in: Simply say “Alexa” or double press the power button to play music, hear the news or check the weather wherever you are. Just ask - and Alexa will respond instantly 
 6.2"" Full HD+ Max Vision display (2270 x 1080) with 19:9 aspect ratio, 4 GB of RAM and 64 GB of internal storage with option to add up to 512 GB of microSD expandable memory, Android 9.0, and US warranty 
 Qualcomm Snapdragon 632 processor with 1.8 GHz octa-core CPU and Adreno 506 GPU 
 12MP + 5MP dual camera with LED flash, 8 MP front-facing camera with screen flash for low light selfies 
 3,000 mAh non-removable battery with USB Type-C 18W TurboPower charger 
 Facial recognition and fingerprint sensor to instantly unlock your phone 
 Unlocked for the freedom to choose your carrier. Compatible with AT&T, Sprint, T-Mobile, and Verizon networks. SIM card not included. Customers may need to contact Sprint for activation on Sprint’s network",FREE Shipping,FREE Returns,In Stock.,True,$54.99,N/A
Samsung Galaxy S8 - Unlocked  - Midnight Black (Renewed),$218.66,https://www.amazon.com/Samsung-Galaxy-Unlocked-Smartphone-Carriers/dp/B0786PRKBP/ref=sr_1_72?keywords=phone&qid=1583977052&sr=8-72,4.1,877,False,Amazon Renewed, $247.00,Arctic Silver / Maple Gold / Midnight Black / Orchid Gray / Black / Coral Blue / S8 / S8 Plus,"Infinity display: a bezel-less, full-frontal, edge-to-edge screen. Default resolution is full HD+ and can be changed to quad HD+ (WQHD+) in settings 
 Camera resolution - front: 8 MP AF, rear: 12 MP OIS AF 
 Memory: Internal memory 64 GB, RAM 4GB",N/A,N/A,In Stock.,False,N/A,N/A
AT&T Radiant Core U304AA Prepaid Cell 4G Phone - Gray - Carirer Locked to AT&T Wireless,$38.90,https://www.amazon.com/AT-Radiant-U304AA-Prepaid-Phone/dp/B07ZHNVL55/ref=sr_1_73?keywords=phone&qid=1583977052&sr=8-73,3.8,3,False,AT&T,N/A,N/A,N/A,FREE Shipping,FREE Returns,Only 4 left in stock - order soon.,True,$6.99,N/A
"AT&T CL4940 Corded Standard Phone with Answering System and Backlit Display, White",$32.27,https://www.amazon.com/AT-Standard-Answering-Backlit-Display/dp/B007B5VH0E/ref=sr_1_74?keywords=phone&qid=1583977052&sr=8-74,4.2,3454,True,AT&T,N/A,N/A,"Simple, Corded Operation . Line Power Mode . Display Dial . Mute . Last Number Redial . Flash 
 Receiver Volume Control . Ringer Volume Control . Table and Wall Mountable . Hearing Aid Compatible . English/Spanish/French Setup Menu 
 Clear speak Dial-in-Base Speakerphone . Speakerphone Volume Control . Caller ID / Call Waiting . 50 Name and Number Caller ID History 
 Digital Answering System . Call Screen/Intercept . Time and Date Stamp . Message Counter . Big button Display;Message guardR memory for power failure 
 Backlit Display . Extra-Large Tilt Display . Extra-Large Buttons.Power adapter input:AC120V 60Hz 
 DSL Subscribers may need to us a DSL Filter",FREE Shipping,FREE Returns,In Stock.,True,N/A,$6.99
"Trimline Corded Phone - Senior Landline Phones for Home – Home Phones for Seniors and the Hearing and Vision Impaired, Extra Loud Ringer, Large Backlit Keypad and Voice Amplification Wall Mount Ready!",$42.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A0167145HBX5UDLUR5J7&url=%2FTrimline-Phone-impaired-Telephone-Improved%2Fdp%2FB00CY470WG%2Fref%3Dsr_1_75_sspa%3Fkeywords%3Dphone%26qid%3D1583977052%26sr%3D8-75-spons%26psc%3D1&qualifier=1583977052&id=5304365632787384&widgetName=sp_mtf,3.6,59,False,iSoHo Phones,N/A,N/A,"★ UNLIKE OTHER LAND LINE TELEPHONES for home that DON’T PICK UP VOICES well and make it HARDER – NOT EASIER – TO HEAR the person on the other end of the line, the iSoHo Trimline Corded Phone has a TARGETED VOICE AMPLIFIER microphone UNIQUELY DESIGNED to amplify softer voices, as well as 3 ADJUSTABLE VOLUME CONTROLS and an EXTRA LOUD RINGER. Created for seniors and the hearing-impaired, our home phone is also the best landline phone for those with LOW SPEECH and LIMITED MOBILITY. 
 ★ DON’T SETTLE FOR landline phones for seniors THAT FALL SHORT of what your loved ones need, with UNRELIABLE FUNCTIONS and buttons that are TOO HARD TO SEE. Our house phone is designed with the exact special features needed by the elderly and vision-impaired – including a keypad with EXTRA-LARGE NUMBERS that are also BACKLIT for increased visibility, day or night. Our corded telephone also has an optional RING ALERT STROBE LIGHT, so users can CLEARLY SEE when a call is coming in. 
 ★ LIGHTWEIGHT, EASY TO HOLD DESIGN! Inspired by the 1965 vintage Princess Phone, your elderly parent or relative will love our landline corded phones for home ’s RETRO EXTERIOR – which features an upgraded DURABLE, LIGHTWEIGHT BODY that’s easy to hold and WON’T AGGRAVATE ARTHRITIS. Comes with a phone mount – whether on a table or mounted to the wall, our senior phone adds a fun VINTAGE TOUCH to any decor! 
 ★ OUR 3-YEAR PROMISE TO YOU: Many landline telephones for home are downright frustrating to use, with unreliable, spotty dial tones and inconsistent functions. We’ve designed and tested our wall phones with the HIGHEST QUALITY PERFORMANCE and functionality in mind, for FIRST-RATE RELIABILITY at all times. Try our wall phone for UP TO 3 YEARS – if you aren’t completely satisfied with your wall phones for landline we’ll RETURN YOUR PAYMENT in full. 
 ★ AT ISOHO PHONES, WE KNOW HOW IMPORTANT IT IS TO keep in touch with your loved ones. We made it our mission to design the best phone for the elderly and hearing impaired, to EMPOWER them to TALK WITH FAMILY AND FRIENDS over the phone despite the hindrances of age and disability. Our customers are our top priority – please don’t hesitate to REACH OUT TO US with any questions you may have. WE’RE ALWAYS HERE TO HELP.",FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
"Senior Landline Phones for Home – Home Phones for Seniors and The Hearing and Vision Impaired – 3 Volume Settings, Extra Loud Ringer, Large Backlit Keypad and Voice Amplification – Wall Mount Ready!",$42.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_2?ie=UTF8&adId=A0166309MWPOHN12OPHT&url=%2FTrimline-Corded-Phone-impaired-Telephone%2Fdp%2FB00CTC9QGG%2Fref%3Dsr_1_76_sspa%3Fkeywords%3Dphone%26qid%3D1583977052%26sr%3D8-76-spons%26psc%3D1&qualifier=1583977052&id=5304365632787384&widgetName=sp_mtf,3.7,531,False,iSoHo Phones,N/A,Classic Blue / Crimson Red / Earth Day Green / Ladies Pink,"★ UNLIKE OTHER LAND LINE TELEPHONES for home that DON’T PICK UP VOICES well and make it HARDER – NOT EASIER – TO HEAR the person on the other end of the line, the iSoHo Trimline Corded Phone has a TARGETED VOICE AMPLIFIER microphone UNIQUELY DESIGNED to amplify softer voices, as well as 3 ADJUSTABLE VOLUME CONTROLS and an EXTRA LOUD RINGER. Created for seniors and the hearing-impaired, our home phone is also the best landline phone for those with LOW SPEECH and LIMITED MOBILITY. 
 ★ DON’T SETTLE FOR landline phones for seniors THAT FALL SHORT of what your loved ones need, with UNRELIABLE FUNCTIONS and buttons that are TOO HARD TO SEE. Our house phone is designed with the exact special features needed by the elderly and vision-impaired – including a keypad with EXTRA-LARGE NUMBERS that are also BACKLIT for increased visibility, day or night. Our corded telephone also has an optional RING ALERT STROBE LIGHT, so users can CLEARLY SEE when a call is coming in. 
 ★ LIGHTWEIGHT, EASY TO HOLD DESIGN! Inspired by the 1965 vintage Princess Phone, your elderly parent or relative will love our landline corded phones for home ’s RETRO EXTERIOR – which features an upgraded DURABLE, LIGHTWEIGHT BODY that’s easy to hold and WON’T AGGRAVATE ARTHRITIS. Comes with a phone mount – whether on a table or mounted to the wall, our senior phone adds a fun VINTAGE TOUCH to any decor! 
 ★ OUR 3-YEAR PROMISE TO YOU: Many landline telephones for home are downright frustrating to use, with unreliable, spotty dial tones and inconsistent functions. We’ve designed and tested our wall phones with the HIGHEST QUALITY PERFORMANCE and functionality in mind, for FIRST-RATE RELIABILITY at all times. Try our wall phone for UP TO 3 YEARS – if you aren’t completely satisfied with your wall phones for landline we’ll RETURN YOUR PAYMENT in full. 
 ★ AT ISOHO PHONES, WE KNOW HOW IMPORTANT IT IS TO keep in touch with your loved ones. We made it our mission to design the best phone for the elderly and hearing impaired, to EMPOWER them to TALK WITH FAMILY AND FRIENDS over the phone despite the hindrances of age and disability. Our customers are our top priority – please don’t hesitate to REACH OUT TO US with any questions you may have. WE’RE ALWAYS HERE TO HELP.",FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
"BLU G9-6.3” HD+ Infinity Display Smartphone, 64GB+4GB RAM -Blue",$169.99,https://www.amazon.com/BLU-G9-6-3-Infinity-Display-Smartphone/dp/B07R78RCP6/ref=sr_1_77?keywords=phone&qid=1583977052&sr=8-77,4.2,1075,True,N/A, $179.99,Black / Blue,"Dual Main Camera: 13MP + 2MP Depth Sensor with Flash and up to 52MP Super Zoom capability, Front Selfie Camera: 13MP 
 64GB Internal Memory 4GB RAM and MicroSD up to 128GB, 2.0GHz Octacore MediaTek Helio P22+ AI Accelerated Exp Processor 
 4,000mAh Super Battery, 5V/2A Quick Charge your device will be ready in less than 2.5 Hours, and Fingerprint sensor 
 4G LTE (1/2/3/4/5/7/8/12/13/17/28) 3G: (850/900/1700/1900/2100): US compatibility Nationwide on all GSM Networks including AT&T, T-Mobile, Cricket, metro PCS, and others. Not compatible with CDMA networks like Verizon, Sprint and Boost mobile",FREE Shipping,FREE Returns,In Stock.,True,$48.99,N/A
Panasonic KX-TG833SK Link2Cell Bluetooth with Talking Caller ID 3 Handset Cordless Phone (Renewed),$47.95,https://www.amazon.com/Panasonic-KX-TG833SK-Link2Cell-Bluetooth-Refurbished/dp/B07HRV1KC4/ref=sr_1_79?keywords=phone&qid=1583977052&sr=8-79,4.4,501,False,N/A,N/A,N/A,"Talking Caller ID 
 Answering System 
 Expandable Upto 6 Handsets 
 .",N/A,N/A,In Stock.,True,$6.99,N/A
"Unlocked Smartphone OUKITEL C17 Pro, 6.35 Inch HD+ Full Screen, 64GB + 4GB RAM, Global 4G LTE Cell Phones, Dual SIM, 3900 mAh Battery, Triple Camera, Android 9.0 Mobile Phone, Face ID, Type-C - Black",$149.99,https://www.amazon.com/Unlocked-Smartphone-OUKITEL-Battery-Android/dp/B07Z8QV1DB/ref=sr_1_80?keywords=phone&qid=1583977052&sr=8-80,3.8,49,True,N/A,N/A,1-Blue (Twilight) / 2-Black / 3-RED,"📞 【Mobile Dual Sim 4G】 Oukitel C17 Pro is a budget phone meets all your daily needs, personal and professional, supporting 2 Nano SIM cards or 1 Nano SIM + 1 MicroSD card (up to 128 GB). Please confirm whether the carrier supports the bands required before purchasing (picture). Compatible with most carriers, including AT&T, Cricket, Straight Talk, T-Mobile, MetroPCS, NET10 and more. 
 📲【Full screen 6.35 inches + Ratio 19.5: 9】 The camera is inserted inside the screen in a small space located in a corner. Body-to-body ratio 90%, aspect ratio 19.5: 9. The smartphone ensures, thanks to its large screen, images of great clarity, as if they were unfolded before your eyes. Despite its large screen, the phone is designed to be used easily with one hand. 
 🚀【Octa-core MediaTek MT6763 processor】 With the OctaCore MTK6763 processor, the Oukitel C17 Pro phone allows you to perform multiple tasks simultaneously with full fluidity. This is what you need to browse, interact on social networks, shop online, watch videos or play. (Android 9.0 phone, Octa-core 2.0 GHz processor, 4 GB RAM and 64 GB memory, 700 MHz GPU) 
 🔋 【Very low standby power consumption】 The high capacity battery (3,900 mAh) will meet your needs and give you a maximum of two days with normal use of the phone. A larger battery means fewer charge cycles, so its life will be longer. 
 📸【Triple camera: bright and colorful photos】 The Oukitel C17 Pro smartphone is equipped with a triple lens camera including a 13 MP Sony camera, a wide angle camera and a depth camera, allowing you to capture excellent wide angle color images. The 5MP front camera with Face Beauty mode allows you to make natural and beautiful selfies.",FREE Shipping,FREE Returns,In Stock.,True,$33.99,N/A
Panasonic KX-TGE445B / KX-TG3645B Cordless Phone with Answering Machine- 5 Handsets (Renewed),$69.99,https://www.amazon.com/Panasonic-KX-TGE445B-KX-TG3645B-Cordless-Answering/dp/B06XGQ6SRG/ref=sr_1_81?keywords=phone&qid=1583977052&sr=8-81,4.3,56,False,Amazon Renewed,N/A,N/A,"Five Handset Cordless Telephone with Answering Machine and Dual Keypad 
 Hear who's calling from across the room with Talking Caller ID announcements in English and Spanish from the base unit and cordless handsets 
 Easily block up to 250 telemarketers, robocallers and other unwanted numbers with one-touch dedicated Call Block buttons on base unit and handsets 
 Other conveniences include Dual Keypad, Full Duplex Speakerphone, Power Back-Up Operation, Headset Jack, Baby Monitor, Silent Mode, Noise Reduction and Intelligent eco Mode",FREE Shipping,N/A,Only 4 left in stock - order soon.,True,N/A,$9.99
"Panasonic KX-TS880B Integrated Corded Telephone,Black",$40.94,https://www.amazon.com/Panasonic-KX-TS880B-Integrated-Corded-Telephone/dp/B004KQDBKG/ref=sr_1_82?keywords=phone&qid=1583977052&sr=8-82,3.5,544,True,Panasonic,N/A,N/A,N/A,FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
"Panasonic KX-TG885SK ( 5 Handset ) Cordless Phone with Answering System, DECT 6.0 Technology Link2Cell Bluetooth Enabled, Talking Caller ID (Renewed)",$68.88,https://www.amazon.com/Panasonic-KX-TG885SK-Answering-Technology-Link2Cell/dp/B07PLLT32H/ref=sr_1_84?keywords=phone&qid=1583977052&sr=8-84,4.2,136,False,Amazon Renewed,N/A,1 Handset / 2 Handsets / 3 Handsets / 4 Handsets / 5 Handsets / 6 Handsets / Additional Handset,"Expandable to 6 Handsets 
 Backlit LCD / Backlit Keypad 
 Talking Caller ID in English & Spanish 
 Link2Cell with Voice Assist / Call Block 
 Answering System / App Alert (for Android only)",N/A,N/A,In Stock.,True,N/A,$9.99
Trimline Corded Phone - Phones for Seniors - Phone for Hearing impaired - Black - Retro Novelty Telephone - an Improved Version of The Princess Phones in 1965 - Style Big Button,$42.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_1?ie=UTF8&adId=A06024233PUTNJ1RE4X7S&url=%2FTrimline-Corded-Phone-impaired-Telephone%2Fdp%2FB00CU6S87Y%2Fref%3Dsr_1_85_sspa%3Fkeywords%3Dphone%26qid%3D1583977052%26sr%3D8-85-spons%26psc%3D1&qualifier=1583977052&id=5304365632787384&widgetName=sp_btf,3.5,121,True,N/A,N/A,N/A,"✅ IDEAL FOR moderate to severe hearing loss, low speech, limited mobility or low vision. Lightweight, arthritis friendly desktop telephone. Easy See Buttons. Volume XL Amplifier. Ringer Strobe Alert. 
 ✅ NEVER MISS A CALL: Ringer alert strobe light and extra loud ringer visually and auditorily alert you to incoming calls. Set it to silent to stop ringer, and still see strobe light. 
 ✅ ELEVATE YOUR DECOR - Retro, vintage Princess Phone from 1965 is now UPGRADED for more durability and features that make sense, without overwhelming. 
 ✅ SIMPLE FEATURES: Trimline Phone in Red, Blue, Black have large Easy-See Backlit Numbers - Lighted Dial Mode - Electronics Ringer on/offswitch located on bottom of base - High/low volume control located on handset - Directory card included - With Ring Alert Strobe Light 
 ✅ 3 Year Warranty - 30 Day Money Back Guarantee: Try it risk-free for 30 days. Love it. Hear your loved ones and doctor clearly. Dial the rightperson every time without frustration or your money back",FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
Clarity XLC7BT Cordless Amplified Phone,$115.02,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_2?ie=UTF8&adId=A006150214DVMMK1EZN4N&url=%2FClarity-XLC7BT-Cordless-Amplified-Phone%2Fdp%2FB076JR3QPG%2Fref%3Dsr_1_86_sspa%3Fkeywords%3Dphone%26qid%3D1583977052%26sr%3D8-86-spons%26psc%3D1%26smid%3DAYSGXV7QRGP7K&qualifier=1583977052&id=5304365632787384&widgetName=sp_btf,4.5,10,False,Clarity,N/A,N/A,"50 DECIBELS OF AMPLIFICATION AND FOUR (4) TONE SETTINGS FOR CELLPHONE CALLS AT HOME 
 PAIR UP TO TWO (2) BLUETOOTH DEVICES 
 SIMPLE, EASY-TO-USE DESIGN 
 EXPANDABLE UP TO THREE (3) EXTRA HANDSETS (XLC7HS) 
 Weight: .5 pounds",N/A,N/A,In Stock.,True,N/A,$29.99
